Shallow Rock,Activity (pH = 8.5) High C and High H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
299.999,,,,,,-6,21.94833058,,-6,21.94833058,,-6,21.94833058,,,21.94833058,,
299.997,,,,,,-6,21.94825399,,-6,21.94825399,,-6,21.94825399,,,21.94825399,,
299.991,,,,,,-6,21.94802423,,-6,21.94802423,,-6,21.94802423,,,21.94802423,,
299.973,,,,,,-6,21.94733493,,-6,21.94733493,,-6,21.94733493,,,21.94733493,,
299.913,,,,,,-6,21.94503727,,-6,21.94503727,,-6,21.94503727,,,21.94503727,,
299.725,,,,,,-6,21.93783795,,-6,21.93783795,,-6,21.93783795,,,21.93783795,,
299.133,,,,,,-6,21.91516773,,-6,21.91516773,,-6,21.91516773,,,21.91516773,,
297.277,,,,,,-6,21.84409354,,-6,21.84409354,,-6,21.84409354,,,21.84409354,,
291.57,,,,,,-6,21.62554806,,-6,21.62554806,,-6,21.62554806,,,21.62554806,,
275,,,,,,-6,20.99101177,,-6,20.99101177,,-6,20.99101177,,,20.99101177,,
233.93,,,,,,-6,19.41826553,,-6,19.41826553,,-6,19.41826553,,,19.41826553,,
233.254,,,,,,-6,19.39237859,,-6,19.39237859,,-6,19.39237859,,,19.39237859,,
195.326,,,,,,-6,17.93995299,,-6,17.93995299,,-6,17.93995299,,,17.93995299,,
162.5,,,,,,-6,16.68290482,,-6,16.68290482,,-6,16.68290482,,,16.68290482,,
99.134,,,,,,-6,14.25634922,,-6,14.25634922,,-6,14.25634922,,,14.25634922,,
91.07,,,,,,-6,13.94754412,,-6,13.94754412,,-6,13.94754412,,,13.94754412,,
50,,,,,,-6,12.37479787,,-6,12.37479787,,-6,12.37479787,,,12.37479787,,
,,,,,,,,,,,,,,,,,,
Shallow Rock,Activity (pH = 11) High C and High H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
