Shallow Rock,Activity (pH = 8.5) High C and High H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,
291.57,-10.11977,-0.71689,-3.29237,-12.13179,201.5846,14.8672,672.9776846,199.5818,4.74743,702.2333387,191.8479,-5.37234,710.8326298,2.981,6.6773,710.8322208,,10.1198
275,-10.0929,-0.71244,-3.54031,-11.94549,206.7776,15.16343,670.3625498,204.9134,5.07053,699.1506729,197.1016,-5.02237,707.1311057,2.8913,6.7353,707.1306719,,10.0929
258.839,-10.08997,-0.70822,-3.80631,-11.76967,212.1598,15.50695,667.7064948,210.4128,5.41698,696.0338506,202.5089,-4.67299,703.4563372,2.8132,6.8058,703.4558626,,10.09
233.93,-10.12726,-0.70193,-4.2622,-11.51286,221.1402,16.14305,663.448182,219.5523,6.01579,691.0847753,211.4767,-4.11147,697.7247217,2.7068,6.9407,697.7241425,,10.1273
175.149,-10.41788,-0.68904,-5.57937,-11.00244,246.3787,18.2283,652.7873172,245.1126,7.81042,678.9725262,236.4837,-2.60746,684.0911824,2.5054,7.3881,684.0899317,,10.4179
162.5,-10.52173,-0.68677,-5.91405,-10.91448,252.7206,18.80289,650.4044821,251.5178,8.28116,676.3156192,242.7396,-2.24057,681.1634767,2.4698,7.5105,681.1619066,,10.5217
99.958,-11.30421,-0.67895,-7.91234,-10.60426,290.5382,22.46579,638.3654638,289.6268,11.16158,663.1140419,279.9074,-0.14263,666.8879773,2.3393,8.2915,666.8806077,,11.3042
91.07,-11.4623,-0.67898,-8.26261,-10.56987,296.987,23.13203,636.6007127,296.1139,11.66973,661.2162684,286.2275,0.20743,664.8795908,2.3283,8.4312,664.8697302,,11.4623
50,-12.34842,-0.67937,-9.95576,-10.50936,331.4616,26.45899,629.0576083,330.7481,14.11057,653.0542389,319.9464,1.76215,656.2442968,2.3143,9.2008,656.1944362,,12.3484
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 11) Low C and Low H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
300,-10.14359,-0.71921,-3.1763,-12.22858,199.0602,14.73881,674.2589765,196.9764,4.59522,703.7421839,189.2754,-5.54837,712.6773283,3.0312,6.6537,712.5518222,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,199.0602,14.73881,674.2589765,196.9764,4.59522,703.7421839,189.2754,-5.54837,712.6773283,3.0312,6.6537,712.5518222,,10.1436
300,-10.14359,-0.71921,-3.1763,-12.22858,199.0602,14.73881,674.2589765,196.9764,4.59522,703.7421839,189.2754,-5.54837,712.6773283,3.0312,6.6537,712.5518222,,10.1436
300,-10.14359,-0.71921,-3.17631,-12.22858,199.0602,14.73883,674.2589034,196.9764,4.59524,703.7421107,189.2754,-5.54835,712.6772551,3.0312,6.6537,712.5517491,,10.1436
299.999,-10.14359,-0.71921,-3.17631,-12.22857,199.0604,14.73882,674.2584952,196.9767,4.59523,703.7420168,189.2757,-5.54836,712.6771456,3.0312,6.6537,712.5516399,,10.1436
299.997,-10.14358,-0.71921,-3.17634,-12.22855,199.061,14.73886,674.2581908,196.9773,4.59528,703.7415731,189.2763,-5.5483,712.6766341,3.0312,6.6537,712.5511293,,10.1436
299.991,-10.14356,-0.71921,-3.17642,-12.22848,199.0628,14.73895,674.2573875,196.9791,4.59539,703.740388,189.2781,-5.54817,712.6752823,3.0312,6.6538,712.5497513,,10.1436
299.973,-10.1435,-0.7192,-3.17667,-12.22827,199.0681,14.73921,674.2546477,196.9846,4.59571,703.7372342,189.2836,-5.54779,712.6716285,3.0311,6.6538,712.5461045,,10.1435
299.913,-10.14331,-0.71918,-3.17746,-12.22758,199.0858,14.74004,674.2457624,197.0029,4.59673,703.726762,189.3017,-5.54658,712.6587945,3.0307,6.654,712.5332467,,10.1433
299.725,-10.1427,-0.71913,-3.17997,-12.22541,199.1413,14.74274,674.2176211,197.0603,4.60004,703.6936658,189.3584,-5.54266,712.6179783,3.0295,6.6544,712.4924251,,10.1427
299.133,-10.14081,-0.71897,-3.18791,-12.21857,199.3163,14.7513,674.128822,197.2412,4.61049,703.5890533,189.5371,-5.53032,712.4892047,3.0259,6.656,712.3635358,,10.1408
297.277,-10.13511,-0.71845,-3.21302,-12.19719,199.8672,14.77858,673.8488547,197.8106,4.64347,703.2601427,190.0995,-5.49164,712.0851929,3.0146,6.6609,711.9591908,,10.1351
291.57,-10.11977,-0.71689,-3.29237,-12.13179,201.5846,14.8672,672.9776846,199.5818,4.74743,702.2333387,191.8479,-5.37234,710.8326298,2.981,6.6773,710.705196,,10.1198
275,-10.09287,-0.71244,-3.54031,-11.94549,206.7776,15.16343,670.3625498,204.9134,5.07056,699.1505679,197.1016,-5.02231,707.1308958,2.8913,6.7353,706.9960234,,10.0929
258.839,-10.08997,-0.70822,-3.80631,-11.76967,212.1598,15.50695,667.7064948,210.4128,5.41698,696.0338506,202.5089,-4.67299,703.4563372,2.8132,6.8058,703.3092214,,10.09
233.93,-10.12726,-0.70193,-4.2622,-11.51286,221.1402,16.14305,663.448182,219.5523,6.01579,691.0847753,211.4767,-4.11147,697.7247217,2.7068,6.9407,697.5464635,,10.1273
175.149,-10.41788,-0.68904,-5.57937,-11.00244,246.3787,18.2283,652.7873172,245.1126,7.81042,678.9725262,236.4837,-2.60746,684.0911824,2.5054,7.3881,683.7239613,,10.4179
162.5,-10.52173,-0.68677,-5.91405,-10.91448,252.7206,18.80289,650.4044821,251.5178,8.28116,676.3156192,242.7396,-2.24057,681.1634767,2.4698,7.5105,680.7129769,,10.5217
99.958,-11.30421,-0.67895,-7.91234,-10.60426,290.5382,22.46579,638.3654638,289.6268,11.16158,663.1140419,279.9074,-0.14263,666.8879773,2.3393,8.2915,665.4454546,,11.3042
91.07,-11.4623,-0.67898,-8.26261,-10.56987,296.987,23.13203,636.6007127,296.1139,11.66973,661.2162684,286.2275,0.20743,664.8795908,2.3283,8.4312,663.1927026,,11.4623
50,-12.34842,-0.67937,-9.95576,-10.50936,331.4616,26.45899,629.0576083,330.7481,14.11057,653.0542389,319.9464,1.76215,656.2442968,2.3143,9.2008,653.5840375,,12.3484
