Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shallow rock,Activity (pH = 11) Low C Low H,,,,arg 2+,,,arg +,,,arg,,,arg-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,,,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,,,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,,,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,,,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,,,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,,,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,,,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,,,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,,,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,,,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,,,2.852750093,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 8.5) High C High H,,,,arg 2+,,,arg +,,,arg,,,arg-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,,,,,
