Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shallow rock,Activity (pH = 11) High C High H,,,,Lys2+,,,Lys+,,,Lys,,,Lys-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shallow rock,Activity (pH = 11) Low C Low H,,,,Lys2+,,,Lys+,,,Lys,,,Lys-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,-6,2.241446502,,,,2.241446502,,
