Shallow Rock,Activity (pH = 8.5) High C and High H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,
50,-11.37652,-0.66395,-8.1392,-7.35753,291.1229,19.62778,559.949539,290.2151,31.0043,534.6135428,280.4806,42.38082,491.0727752,2.3382,8.3041,508.0147138,,11.3765
50,-11.52007,-0.66397,-8.45717,-7.32643,296.987,20.23268,570.7964618,296.1139,31.75275,545.2359662,286.2275,43.27282,501.0858429,2.3283,8.4312,521.4160256,,11.5201
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shallow Rock,Activity (pH = 8.5) Low C and Low H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
300,,,,,,-6,21.94836887,,-6,21.94836887,,-6,21.94836887,,,21.94836887,,
299.999,,,,,,-6,21.94833058,,-6,21.94833058,,-6,21.94833058,,,21.94833058,,
299.997,,,,,,-6,21.94825399,,-6,21.94825399,,-6,21.94825399,,,21.94825399,,
299.991,,,,,,-6,21.94802423,,-6,21.94802423,,-6,21.94802423,,,21.94802423,,
299.973,,,,,,-6,21.94733493,,-6,21.94733493,,-6,21.94733493,,,21.94733493,,
299.913,,,,,,-6,21.94503727,,-6,21.94503727,,-6,21.94503727,,,21.94503727,,
